epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.1941,1.12525,2.04865,1.39899,0.41471,0.36825,0.3044,0.16323,1.4366,2.67216,1.66622,0.000414614,0.000414614,0.000414614
2,160.064,1.19761,1.81984,1.4848,0.30454,0.3373,0.23893,0.11503,1.67764,3.00943,1.9242,0.000823051,0.000823051,0.000823051
3,242.043,1.2606,1.89415,1.52588,0.34377,0.28922,0.22368,0.11003,1.79683,2.71071,2.0049,0.00122324,0.00122324,0.00122324
4,323.387,1.23506,1.85846,1.51469,0.28095,0.3304,0.1922,0.09829,1.64881,3.23302,1.93995,0.00121287,0.00121287,0.00121287
5,404.661,1.1696,1.72141,1.473,0.38138,0.35095,0.29338,0.15407,1.57291,2.40705,1.77796,0.0012005,0.0012005,0.0012005
6,485.647,1.13447,1.6459,1.44128,0.58177,0.39707,0.41921,0.24617,1.41261,1.82924,1.66998,0.00118812,0.00118812,0.00118812
7,566.702,1.11089,1.59436,1.42339,0.57241,0.41436,0.43562,0.25085,1.39942,1.9501,1.6386,0.00117575,0.00117575,0.00117575
8,647.261,1.07906,1.54618,1.40279,0.62326,0.44833,0.48675,0.30087,1.26048,1.66024,1.52354,0.00116337,0.00116337,0.00116337
9,728.155,1.02447,1.45279,1.36361,0.57151,0.4695,0.49537,0.32405,1.20576,1.55857,1.48675,0.001151,0.001151,0.001151
10,808.754,1.05368,1.45081,1.37745,0.58942,0.44306,0.46548,0.28567,1.32175,1.8276,1.57506,0.00113863,0.00113863,0.00113863
11,889.599,1.02917,1.39345,1.3613,0.62341,0.48965,0.53573,0.33018,1.22361,1.46885,1.45613,0.00112625,0.00112625,0.00112625
12,970.605,1.01928,1.38239,1.35218,0.65614,0.5002,0.54725,0.35592,1.15421,1.47868,1.41553,0.00111388,0.00111388,0.00111388
13,1051.75,1.00483,1.34855,1.34962,0.65386,0.49425,0.54409,0.35605,1.15179,1.45127,1.41219,0.0011015,0.0011015,0.0011015
14,1133,0.98408,1.326,1.33636,0.67197,0.4891,0.53954,0.34114,1.21104,1.53281,1.46145,0.00108913,0.00108913,0.00108913
15,1214.01,0.98563,1.28673,1.32449,0.64739,0.46917,0.49971,0.31242,1.19013,1.84736,1.45965,0.00107675,0.00107675,0.00107675
